n,m,p,probability
19,17,0.007221018444227575,0.1
5,6,0.09280148030367172,0.72
4,10,0.16242078413342542,0.64
26,12,0.0008994472966551736,1.0
20,10,0.005254791456445536,1.0
22,16,0.08886644982564623,0.38
30,20,0.2674406741002193,0.04
22,15,0.0004845129853348533,1.0
29,14,9.67746511159584e-05,1.0
28,25,0.05094348205481634,0.46
25,24,0.39287550299603,0.06
27,5,7.841770997503883e-05,0.02
22,5,0.009013142598503308,0.8
21,24,0.09244212119097844,0.36
22,9,0.09664009671075557,0.32
23,8,6.091129845896548e-06,1.0
26,15,0.004972997136008056,0.88
27,14,0.007782969393336692,0.84
27,25,0.16200100313056076,0.12
25,14,0.0009179481235304768,1.0
29,13,0.0012420556935484029,0.02
21,23,0.0948911719433822,0.32
27,5,0.13328552400908766,0.14
